folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size	symbol	icon_size	color	c-size	h-size	k-size	l-size	m-size	o-size	q-size	s-size	sq-size	t-size	z-size
Folder1	IMG_20170130_150910	"Enter description here"	35.727477777778	-105.83916388889	https://c1.staticflickr.com/5/4220/34513192763_8a7dc12e20_n.jpg	https://www.flickr.com/photos/30474783@N06/34513192763/in/album-72157664317884224	"2017:01:30 15:09:11"	https://c1.staticflickr.com/5/4220/34513192763_8a7dc12e20_n.jpg			pink	https://c1.staticflickr.com/5/4220/34513192763_8a7dc12e20_c.jpg	https://c1.staticflickr.com/5/4220/34513192763_ac3e039e8e_h.jpg	https://c1.staticflickr.com/5/4220/34513192763_db9ad39a17_k.jpg	https://c1.staticflickr.com/5/4220/34513192763_8a7dc12e20_b.jpg	https://c1.staticflickr.com/5/4220/34513192763_8a7dc12e20.jpg	https://c1.staticflickr.com/5/4220/34513192763_13b1b70800_o.jpg	https://c1.staticflickr.com/5/4220/34513192763_8a7dc12e20_q.jpg	https://c1.staticflickr.com/5/4220/34513192763_8a7dc12e20_m.jpg	https://c1.staticflickr.com/5/4220/34513192763_8a7dc12e20_s.jpg	https://c1.staticflickr.com/5/4220/34513192763_8a7dc12e20_t.jpg	https://c1.staticflickr.com/5/4220/34513192763_8a7dc12e20_z.jpg	"2017:01:30 22:7:16"
Folder1	IMG_20170130_150733	"Enter description here"	35.727663888889	-105.83920277778	https://c1.staticflickr.com/5/4260/35156621222_a42c57fcae_n.jpg	https://www.flickr.com/photos/30474783@N06/35156621222/in/album-72157664317884224	"2017:01:30 15:07:34"	https://c1.staticflickr.com/5/4260/35156621222_a42c57fcae_n.jpg			pink	https://c1.staticflickr.com/5/4260/35156621222_a42c57fcae_c.jpg	https://c1.staticflickr.com/5/4260/35156621222_97a733a020_h.jpg	https://c1.staticflickr.com/5/4260/35156621222_5c0e0a84d1_k.jpg	https://c1.staticflickr.com/5/4260/35156621222_a42c57fcae_b.jpg	https://c1.staticflickr.com/5/4260/35156621222_a42c57fcae.jpg	https://c1.staticflickr.com/5/4260/35156621222_9a36e20216_o.jpg	https://c1.staticflickr.com/5/4260/35156621222_a42c57fcae_q.jpg	https://c1.staticflickr.com/5/4260/35156621222_a42c57fcae_m.jpg	https://c1.staticflickr.com/5/4260/35156621222_a42c57fcae_s.jpg	https://c1.staticflickr.com/5/4260/35156621222_a42c57fcae_t.jpg	https://c1.staticflickr.com/5/4260/35156621222_a42c57fcae_z.jpg	"2017:01:30 22:9:1"
Folder1	IMG_20170130_162641	"Enter description here"	35.727772222222	-105.83938611111	https://c1.staticflickr.com/5/4198/35193579631_f2184d74ef_n.jpg	https://www.flickr.com/photos/30474783@N06/35193579631/in/album-72157664317884224	"2017:01:30 15:26:42"	https://c1.staticflickr.com/5/4198/35193579631_f2184d74ef_n.jpg			pink	https://c1.staticflickr.com/5/4198/35193579631_f2184d74ef_c.jpg	https://c1.staticflickr.com/5/4198/35193579631_3b8a599175_h.jpg	https://c1.staticflickr.com/5/4198/35193579631_16462c5dc9_k.jpg	https://c1.staticflickr.com/5/4198/35193579631_f2184d74ef_b.jpg	https://c1.staticflickr.com/5/4198/35193579631_f2184d74ef.jpg	https://c1.staticflickr.com/5/4198/35193579631_16093e9afc_o.jpg	https://c1.staticflickr.com/5/4198/35193579631_f2184d74ef_q.jpg	https://c1.staticflickr.com/5/4198/35193579631_f2184d74ef_m.jpg	https://c1.staticflickr.com/5/4198/35193579631_f2184d74ef_s.jpg	https://c1.staticflickr.com/5/4198/35193579631_f2184d74ef_t.jpg	https://c1.staticflickr.com/5/4198/35193579631_f2184d74ef_z.jpg	"2017:01:30 23:26:27"
Folder1	WP_20160329_007	"Enter description here"	35.727772222222	-105.83938611111	https://c1.staticflickr.com/2/1509/25530633443_9afde04521_n.jpg	https://www.flickr.com/photos/30474783@N06/25530633443/in/album-72157664317884224	"2017:01:30 15:26:42"	https://c1.staticflickr.com/2/1509/25530633443_9afde04521_n.jpg			pink	https://c1.staticflickr.com/2/1509/25530633443_9afde04521_c.jpg	https://c1.staticflickr.com/2/1509/25530633443_6a215f883e_h.jpg	https://c1.staticflickr.com/2/1509/25530633443_0b578bd3ed_k.jpg	https://c1.staticflickr.com/2/1509/25530633443_9afde04521_b.jpg	https://c1.staticflickr.com/2/1509/25530633443_9afde04521.jpg	https://c1.staticflickr.com/2/1509/25530633443_6e1b12ee1a_o.jpg	https://c1.staticflickr.com/2/1509/25530633443_9afde04521_q.jpg	https://c1.staticflickr.com/2/1509/25530633443_9afde04521_m.jpg	https://c1.staticflickr.com/2/1509/25530633443_9afde04521_s.jpg	https://c1.staticflickr.com/2/1509/25530633443_9afde04521_t.jpg	https://c1.staticflickr.com/2/1509/25530633443_9afde04521_z.jpg	"2017:06:13 17:36:39"
Folder1	WP_20160329_006	"Enter description here"	35.715424444444	-105.8408175	https://c1.staticflickr.com/2/1563/26040775272_155be3cae0_n.jpg	https://www.flickr.com/photos/30474783@N06/26040775272/in/album-72157664317884224	"2016:03:29 16:23:56"	https://c1.staticflickr.com/2/1563/26040775272_155be3cae0_n.jpg			pink	https://c1.staticflickr.com/2/1563/26040775272_155be3cae0_c.jpg	https://c1.staticflickr.com/2/1563/26040775272_e1034be78c_h.jpg	https://c1.staticflickr.com/2/1563/26040775272_f624124847_k.jpg	https://c1.staticflickr.com/2/1563/26040775272_155be3cae0_b.jpg	https://c1.staticflickr.com/2/1563/26040775272_155be3cae0.jpg	https://c1.staticflickr.com/2/1563/26040775272_866e53869c_o.jpg	https://c1.staticflickr.com/2/1563/26040775272_155be3cae0_q.jpg	https://c1.staticflickr.com/2/1563/26040775272_155be3cae0_m.jpg	https://c1.staticflickr.com/2/1563/26040775272_155be3cae0_s.jpg	https://c1.staticflickr.com/2/1563/26040775272_155be3cae0_t.jpg	https://c1.staticflickr.com/2/1563/26040775272_155be3cae0_z.jpg	" 0:0:0"
Folder1	WP_20160329_008	"Enter description here"	35.715424444444	-105.8408175	https://c1.staticflickr.com/2/1711/26107333306_993ef9b7eb_n.jpg	https://www.flickr.com/photos/30474783@N06/26107333306/in/album-72157664317884224	"2016:03:29 16:23:56"	https://c1.staticflickr.com/2/1711/26107333306_993ef9b7eb_n.jpg			pink	https://c1.staticflickr.com/2/1711/26107333306_993ef9b7eb_c.jpg	https://c1.staticflickr.com/2/1711/26107333306_899d0aca3c_h.jpg	https://c1.staticflickr.com/2/1711/26107333306_1140db2fe1_k.jpg	https://c1.staticflickr.com/2/1711/26107333306_993ef9b7eb_b.jpg	https://c1.staticflickr.com/2/1711/26107333306_993ef9b7eb.jpg	https://c1.staticflickr.com/2/1711/26107333306_8296393a9a_o.jpg	https://c1.staticflickr.com/2/1711/26107333306_993ef9b7eb_q.jpg	https://c1.staticflickr.com/2/1711/26107333306_993ef9b7eb_m.jpg	https://c1.staticflickr.com/2/1711/26107333306_993ef9b7eb_s.jpg	https://c1.staticflickr.com/2/1711/26107333306_993ef9b7eb_t.jpg	https://c1.staticflickr.com/2/1711/26107333306_993ef9b7eb_z.jpg	" 0:0:0"
Folder1	WP_20160329_005	"Enter description here"	35.715419722222	-105.84082361111	https://c1.staticflickr.com/2/1579/26133238735_d76d693bec_n.jpg	https://www.flickr.com/photos/30474783@N06/26133238735/in/album-72157664317884224	"2016:03:29 16:23:54"	https://c1.staticflickr.com/2/1579/26133238735_d76d693bec_n.jpg			pink	https://c1.staticflickr.com/2/1579/26133238735_d76d693bec_c.jpg	https://c1.staticflickr.com/2/1579/26133238735_7706af31d1_h.jpg	https://c1.staticflickr.com/2/1579/26133238735_2b63268d58_k.jpg	https://c1.staticflickr.com/2/1579/26133238735_d76d693bec_b.jpg	https://c1.staticflickr.com/2/1579/26133238735_d76d693bec.jpg	https://c1.staticflickr.com/2/1579/26133238735_ee007a922e_o.jpg	https://c1.staticflickr.com/2/1579/26133238735_d76d693bec_q.jpg	https://c1.staticflickr.com/2/1579/26133238735_d76d693bec_m.jpg	https://c1.staticflickr.com/2/1579/26133238735_d76d693bec_s.jpg	https://c1.staticflickr.com/2/1579/26133238735_d76d693bec_t.jpg	https://c1.staticflickr.com/2/1579/26133238735_d76d693bec_z.jpg	" 0:0:0"
Folder1	WP_20160329_004	"Enter description here"	35.715418333333	-105.84082083333	https://c1.staticflickr.com/2/1576/25530596663_bec7f19ac7_n.jpg	https://www.flickr.com/photos/30474783@N06/25530596663/in/album-72157664317884224	"2016:03:29 16:23:52"	https://c1.staticflickr.com/2/1576/25530596663_bec7f19ac7_n.jpg			pink	https://c1.staticflickr.com/2/1576/25530596663_bec7f19ac7_c.jpg	https://c1.staticflickr.com/2/1576/25530596663_17542c2764_h.jpg	https://c1.staticflickr.com/2/1576/25530596663_69ec40b281_k.jpg	https://c1.staticflickr.com/2/1576/25530596663_bec7f19ac7_b.jpg	https://c1.staticflickr.com/2/1576/25530596663_bec7f19ac7.jpg	https://c1.staticflickr.com/2/1576/25530596663_0b1a9c9fe4_o.jpg	https://c1.staticflickr.com/2/1576/25530596663_bec7f19ac7_q.jpg	https://c1.staticflickr.com/2/1576/25530596663_bec7f19ac7_m.jpg	https://c1.staticflickr.com/2/1576/25530596663_bec7f19ac7_s.jpg	https://c1.staticflickr.com/2/1576/25530596663_bec7f19ac7_t.jpg	https://c1.staticflickr.com/2/1576/25530596663_bec7f19ac7_z.jpg	" 0:0:0"
Folder1	WP_20160329_003	"Enter description here"	35.715416388889	-105.84083638889	https://c1.staticflickr.com/2/1568/25528451314_4098827727_n.jpg	https://www.flickr.com/photos/30474783@N06/25528451314/in/album-72157664317884224	"2016:03:29 16:23:41"	https://c1.staticflickr.com/2/1568/25528451314_4098827727_n.jpg			pink	https://c1.staticflickr.com/2/1568/25528451314_4098827727_c.jpg	https://c1.staticflickr.com/2/1568/25528451314_3ad29a9b38_h.jpg	https://c1.staticflickr.com/2/1568/25528451314_7b88897434_k.jpg	https://c1.staticflickr.com/2/1568/25528451314_4098827727_b.jpg	https://c1.staticflickr.com/2/1568/25528451314_4098827727.jpg	https://c1.staticflickr.com/2/1568/25528451314_27e17724b2_o.jpg	https://c1.staticflickr.com/2/1568/25528451314_4098827727_q.jpg	https://c1.staticflickr.com/2/1568/25528451314_4098827727_m.jpg	https://c1.staticflickr.com/2/1568/25528451314_4098827727_s.jpg	https://c1.staticflickr.com/2/1568/25528451314_4098827727_t.jpg	https://c1.staticflickr.com/2/1568/25528451314_4098827727_z.jpg	" 0:0:0"
Folder1	IMG_4694_20170613_Ken	"Enter description here"	35.713736111111	-105.84155277778	https://c1.staticflickr.com/5/4217/35283372946_bd8e0d94df_n.jpg	https://www.flickr.com/photos/30474783@N06/35283372946/in/album-72157664317884224	"2017:06:13 11:36:39"	https://c1.staticflickr.com/5/4217/35283372946_bd8e0d94df_n.jpg			pink	https://c1.staticflickr.com/5/4217/35283372946_bd8e0d94df_c.jpg	https://c1.staticflickr.com/5/4217/35283372946_7ec94e0d19_h.jpg	https://c1.staticflickr.com/5/4217/35283372946_b8f2a51d7d_k.jpg	https://c1.staticflickr.com/5/4217/35283372946_bd8e0d94df_b.jpg	https://c1.staticflickr.com/5/4217/35283372946_bd8e0d94df.jpg	https://c1.staticflickr.com/5/4217/35283372946_0251c6eeea_o.jpg	https://c1.staticflickr.com/5/4217/35283372946_bd8e0d94df_q.jpg	https://c1.staticflickr.com/5/4217/35283372946_bd8e0d94df_m.jpg	https://c1.staticflickr.com/5/4217/35283372946_bd8e0d94df_s.jpg	https://c1.staticflickr.com/5/4217/35283372946_bd8e0d94df_t.jpg	https://c1.staticflickr.com/5/4217/35283372946_bd8e0d94df_z.jpg	" 0:0:0"
