folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size	symbol	icon_size	color
Folder1	IMG_20170304_135001	Is this the right way up?	35.8095277778	-106.1475694444	https://c1.staticflickr.com/4/3797/32408856354_dc8b496d03_n.jpg	https://www.flickr.com/photos/30474783@N06/32408856354/in/album-72157680943556556	2017:03:04 13:50:02	https://c1.staticflickr.com/4/3797/32408856354_dc8b496d03_n.jpg			violet
Folder1	IMG_20170304_135342	A look down	35.8096444444	-106.1471388889	https://c1.staticflickr.com/4/3875/32408849464_f48cce89fd_n.jpg	https://www.flickr.com/photos/30474783@N06/32408849464/in/album-72157680943556556	2017:03:04 13:53:43	https://c1.staticflickr.com/4/3875/32408849464_f48cce89fd_n.jpg			violet
Folder1	IMG_20170304_135704	A look up	35.8096472222	-106.1471	https://c1.staticflickr.com/1/638/32408840004_48af3ca1ed_n.jpg	https://www.flickr.com/photos/30474783@N06/32408840004/in/album-72157680943556556	2017:03:04 13:57:05	https://c1.staticflickr.com/1/638/32408840004_48af3ca1ed_n.jpg			violet
Folder1	IMG_20170304_141123	Scrambling up along the tilted layers	35.8099583333	-106.1450944444	https://c1.staticflickr.com/4/3683/33211229036_b7547eb915_n.jpg	https://www.flickr.com/photos/30474783@N06/33211229036/in/album-72157680943556556	2017:03:04 14:11:24	https://c1.staticflickr.com/4/3683/33211229036_b7547eb915_n.jpg			violet
Folder1	IMG_20170304_141743	Almost to the top	35.8100638889	-106.1447138889	https://c1.staticflickr.com/4/3808/33211176956_d456fdbf98_n.jpg	https://www.flickr.com/photos/30474783@N06/33211176956/in/album-72157680943556556	2017:03:04 14:17:44	https://c1.staticflickr.com/4/3808/33211176956_d456fdbf98_n.jpg			violet
Folder1	IMG_20170304_143529	Starting down towards the cliff top	35.8074277778	-106.1446055556	https://c1.staticflickr.com/1/620/32438039023_6013b63a10_n.jpg	https://www.flickr.com/photos/30474783@N06/32438039023/in/album-72157680943556556	2017:03:04 14:35:30	https://c1.staticflickr.com/1/620/32438039023_6013b63a10_n.jpg			violet
Folder1	IMG_20170304_144227	The intrepid hikers with Diablo Canyon below	35.8072833333	-106.1441777778	https://c1.staticflickr.com/4/3944/33252574285_6a19cf032b_n.jpg	https://www.flickr.com/photos/30474783@N06/33252574285/in/album-72157680943556556	2017:03:04 14:42:28	https://c1.staticflickr.com/4/3944/33252574285_6a19cf032b_n.jpg			violet
Folder1	IMG_20170304_145322	A path to the mesa top on the other side of the canyon?	35.8072638889	-106.1422916667	https://c1.staticflickr.com/4/3904/32408778564_402f03d0a2_n.jpg	https://www.flickr.com/photos/30474783@N06/32408778564/in/album-72157680943556556	2017:03:04 14:53:24	https://c1.staticflickr.com/4/3904/32408778564_402f03d0a2_n.jpg			violet
Folder1	IMG_20170304_150556	A gastrolith?	35.8081888889	-106.1397055556	https://c1.staticflickr.com/1/737/33211146126_f0a44989e1_n.jpg	https://www.flickr.com/photos/30474783@N06/33211146126/in/album-72157680943556556	2017:03:04 15:05:57	https://c1.staticflickr.com/1/737/33211146126_f0a44989e1_n.jpg			violet
Folder1	IMG_20170304_150953	Heading back down to the car	35.8088805556	-106.1387861111	https://c1.staticflickr.com/1/571/33211135126_0a177e0ffa_n.jpg	https://www.flickr.com/photos/30474783@N06/33211135126/in/album-72157680943556556	2017:03:04 15:09:54	https://c1.staticflickr.com/1/571/33211135126_0a177e0ffa_n.jpg			violet
