folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size	symbol	icon_size	color
Folder1	IMG_20170521_115647	Great trail signs throughout	35.536880375	-105.884229125	https://c1.staticflickr.com/5/4174/34420381150_202db145c0_n.jpg	https://www.flickr.com/photos/30474783@N06/34420381150/in/album-72157681262491952	2017:05:21 11:56:48	https://c1.staticflickr.com/5/4174/34420381150_202db145c0_n.jpg			teal
Folder1	IMG_20170521_115826	Trail overview sign	35.5375938667	-105.8834567333	https://c1.staticflickr.com/5/4221/34644035762_8a23086e96_n.jpg	https://www.flickr.com/photos/30474783@N06/34644035762/in/album-72157681262491952	2017:05:21 11:58:27	https://c1.staticflickr.com/5/4221/34644035762_8a23086e96_n.jpg			teal
Folder1	IMG_20170521_120213	Junction 1A	35.5391515833	-105.8827950834	https://c1.staticflickr.com/5/4190/34644024962_7eec764378_n.jpg	https://www.flickr.com/photos/30474783@N06/34644024962/in/album-72157681262491952	2017:05:21 12:02:14	https://c1.staticflickr.com/5/4190/34644024962_7eec764378_n.jpg			teal
Folder1	IMG_20170521_121826	Views improve on the way up	35.5438221453	-105.8797454805	https://c1.staticflickr.com/5/4166/34673818871_6447d4f53e_n.jpg	https://www.flickr.com/photos/30474783@N06/34673818871/in/album-72157681262491952	2017:05:21 12:18:27	https://c1.staticflickr.com/5/4166/34673818871_6447d4f53e_n.jpg			teal
Folder1	IMG_20170521_123334	The Queen at the top	35.5449694202	-105.8782313278	https://c1.staticflickr.com/5/4246/34420355910_121dc60d44_n.jpg	https://www.flickr.com/photos/30474783@N06/34420355910/in/album-72157681262491952	2017:05:21 12:33:35	https://c1.staticflickr.com/5/4246/34420355910_121dc60d44_n.jpg			teal
Folder1	IMG_20170521_124545	Junction 1B	35.542714	-105.875301	https://c1.staticflickr.com/5/4273/33963290674_ec098fae2b_n.jpg	https://www.flickr.com/photos/30474783@N06/33963290674/in/album-72157681262491952	2017:05:21 12:45:46	https://c1.staticflickr.com/5/4273/33963290674_ec098fae2b_n.jpg			teal
Folder1	IMG_20170521_124551	1B and beyond!	35.542714	-105.875301	https://c1.staticflickr.com/5/4243/33996730173_d6aa434644_n.jpg	https://www.flickr.com/photos/30474783@N06/33996730173/in/album-72157681262491952	2017:05:21 12:45:52	https://c1.staticflickr.com/5/4243/33996730173_d6aa434644_n.jpg			teal
Folder1	IMG_20170521_124622	Lots of cactus and wildflowers	35.5423389737	-105.8750724474	https://c1.staticflickr.com/5/4155/33963278144_35b47b6287_n.jpg	https://www.flickr.com/photos/30474783@N06/33963278144/in/album-72157681262491952	2017:05:21 12:46:23	https://c1.staticflickr.com/5/4155/33963278144_35b47b6287_n.jpg			teal
Folder1	IMG_20170521_124933	Heading down with beautiful clouds	35.5411794286	-105.8742781429	https://c1.staticflickr.com/5/4171/34643968682_a646938c68_n.jpg	https://www.flickr.com/photos/30474783@N06/34643968682/in/album-72157681262491952	2017:05:21 12:49:34	https://c1.staticflickr.com/5/4171/34643968682_a646938c68_n.jpg			teal
Folder1	IMG_20170521_125728	Junction	35.5388531915	-105.8751605532	https://c1.staticflickr.com/5/4166/34766308966_044fbcff00_n.jpg	https://www.flickr.com/photos/30474783@N06/34766308966/in/album-72157681262491952	2017:05:21 12:57:29	https://c1.staticflickr.com/5/4166/34766308966_044fbcff00_n.jpg			teal
Folder1	IMG_20170521_130829	Claret Cup and yellow flowers	35.5387635385	-105.8809457692	https://c1.staticflickr.com/5/4196/34420297050_431d16531d_n.jpg	https://www.flickr.com/photos/30474783@N06/34420297050/in/album-72157681262491952	2017:05:21 13:08:29	https://c1.staticflickr.com/5/4196/34420297050_431d16531d_n.jpg			teal
