folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size	symbol	icon_size	color	c-size	h-size	k-size	l-size	m-size	o-size	q-size	s-size	sq-size	t-size	z-size	
Folder1	IMG_20170707_135230	On the way up	35.7920083333	-105.7968666667	https://c1.staticflickr.com/5/4260/35625143332_bd81236402_n.jpg	https://www.flickr.com/photos/30474783@N06/35625143332/in/album-72157686011303755		https://c1.staticflickr.com/5/4260/35625143332_bd81236402_n.jpg			aqua	https://c1.staticflickr.com/5/4260/35625143332_bd81236402_c.jpg	https://c1.staticflickr.com/5/4260/35625143332_6d1c370126_h.jpg	https://c1.staticflickr.com/5/4260/35625143332_e2008e97b9_k.jpg	https://c1.staticflickr.com/5/4260/35625143332_bd81236402_b.jpg	https://c1.staticflickr.com/5/4260/35625143332_bd81236402.jpg	https://c1.staticflickr.com/5/4260/35625143332_6fb171fc37_o.jpg	https://c1.staticflickr.com/5/4260/35625143332_bd81236402_q.jpg	https://c1.staticflickr.com/5/4260/35625143332_bd81236402_m.jpg	https://c1.staticflickr.com/5/4260/35625143332_bd81236402_s.jpg	https://c1.staticflickr.com/5/4260/35625143332_bd81236402_t.jpg	https://c1.staticflickr.com/5/4260/35625143332_bd81236402_z.jpg	12:00:00 AM
Folder1	IMG_20170707_151032	Many colored rock	35.7955055556	-105.772025	https://c1.staticflickr.com/5/4279/35753749076_e91d7e43e1_n.jpg	https://www.flickr.com/photos/30474783@N06/35753749076/in/album-72157686011303755		https://c1.staticflickr.com/5/4279/35753749076_e91d7e43e1_n.jpg			aqua	https://c1.staticflickr.com/5/4279/35753749076_e91d7e43e1_c.jpg	https://c1.staticflickr.com/5/4279/35753749076_af9616196d_h.jpg	https://c1.staticflickr.com/5/4279/35753749076_792af75b77_k.jpg	https://c1.staticflickr.com/5/4279/35753749076_e91d7e43e1_b.jpg	https://c1.staticflickr.com/5/4279/35753749076_e91d7e43e1.jpg	https://c1.staticflickr.com/5/4279/35753749076_d237c37d17_o.jpg	https://c1.staticflickr.com/5/4279/35753749076_e91d7e43e1_q.jpg	https://c1.staticflickr.com/5/4279/35753749076_e91d7e43e1_m.jpg	https://c1.staticflickr.com/5/4279/35753749076_e91d7e43e1_s.jpg	https://c1.staticflickr.com/5/4279/35753749076_e91d7e43e1_t.jpg	https://c1.staticflickr.com/5/4279/35753749076_e91d7e43e1_z.jpg	12:00:00 AM
Folder1	IMG_20170707_151637	Looking back towards Deception?	35.7964166667	-105.772	https://c1.staticflickr.com/5/4254/35662443511_fc682c601c_n.jpg	https://www.flickr.com/photos/30474783@N06/35662443511/in/album-72157686011303755		https://c1.staticflickr.com/5/4254/35662443511_fc682c601c_n.jpg			aqua	https://c1.staticflickr.com/5/4254/35662443511_fc682c601c_c.jpg	https://c1.staticflickr.com/5/4254/35662443511_71ccc7ace3_h.jpg	https://c1.staticflickr.com/5/4254/35662443511_a750544012_k.jpg	https://c1.staticflickr.com/5/4254/35662443511_fc682c601c_b.jpg	https://c1.staticflickr.com/5/4254/35662443511_fc682c601c.jpg	https://c1.staticflickr.com/5/4254/35662443511_60fa3fbf7e_o.jpg	https://c1.staticflickr.com/5/4254/35662443511_fc682c601c_q.jpg	https://c1.staticflickr.com/5/4254/35662443511_fc682c601c_m.jpg	https://c1.staticflickr.com/5/4254/35662443511_fc682c601c_s.jpg	https://c1.staticflickr.com/5/4254/35662443511_fc682c601c_t.jpg	https://c1.staticflickr.com/5/4254/35662443511_fc682c601c_z.jpg	12:00:00 AM
Folder1	IMG_20170707_151644	Northwest toward Nambe Lake	35.7964166667	-105.772	https://c1.staticflickr.com/5/4209/35794622295_1d20c198c9_n.jpg	https://www.flickr.com/photos/30474783@N06/35794622295/in/album-72157686011303755		https://c1.staticflickr.com/5/4209/35794622295_1d20c198c9_n.jpg			aqua	https://c1.staticflickr.com/5/4209/35794622295_1d20c198c9_c.jpg	https://c1.staticflickr.com/5/4209/35794622295_1732329775_h.jpg	https://c1.staticflickr.com/5/4209/35794622295_6b07172256_k.jpg	https://c1.staticflickr.com/5/4209/35794622295_1d20c198c9_b.jpg	https://c1.staticflickr.com/5/4209/35794622295_1d20c198c9.jpg	https://c1.staticflickr.com/5/4209/35794622295_630028fce8_o.jpg	https://c1.staticflickr.com/5/4209/35794622295_1d20c198c9_q.jpg	https://c1.staticflickr.com/5/4209/35794622295_1d20c198c9_m.jpg	https://c1.staticflickr.com/5/4209/35794622295_1d20c198c9_s.jpg	https://c1.staticflickr.com/5/4209/35794622295_1d20c198c9_t.jpg	https://c1.staticflickr.com/5/4209/35794622295_1d20c198c9_z.jpg	12:00:00 AM
Folder1	IMG_20170707_151649	North toward SF Baldy	35.7964166667	-105.772	https://c1.staticflickr.com/5/4286/35662435821_e6c02c9efe_n.jpg	https://www.flickr.com/photos/30474783@N06/35662435821/in/album-72157686011303755		https://c1.staticflickr.com/5/4286/35662435821_e6c02c9efe_n.jpg			aqua	https://c1.staticflickr.com/5/4286/35662435821_e6c02c9efe_c.jpg	https://c1.staticflickr.com/5/4286/35662435821_647cdebb3f_h.jpg	https://c1.staticflickr.com/5/4286/35662435821_01a8da92d9_k.jpg	https://c1.staticflickr.com/5/4286/35662435821_e6c02c9efe_b.jpg	https://c1.staticflickr.com/5/4286/35662435821_e6c02c9efe.jpg	https://c1.staticflickr.com/5/4286/35662435821_49015dd0d7_o.jpg	https://c1.staticflickr.com/5/4286/35662435821_e6c02c9efe_q.jpg	https://c1.staticflickr.com/5/4286/35662435821_e6c02c9efe_m.jpg	https://c1.staticflickr.com/5/4286/35662435821_e6c02c9efe_s.jpg	https://c1.staticflickr.com/5/4286/35662435821_e6c02c9efe_t.jpg	https://c1.staticflickr.com/5/4286/35662435821_e6c02c9efe_z.jpg	12:00:00 AM
Folder1	IMG_20170707_151655	Northeast toward Penitente	35.7964166667	-105.772	https://c1.staticflickr.com/5/4262/35625115942_6f7f31d555_n.jpg	https://www.flickr.com/photos/30474783@N06/35625115942/in/album-72157686011303755		https://c1.staticflickr.com/5/4262/35625115942_6f7f31d555_n.jpg			aqua	https://c1.staticflickr.com/5/4262/35625115942_6f7f31d555_c.jpg	https://c1.staticflickr.com/5/4262/35625115942_a7ec2af86b_h.jpg	https://c1.staticflickr.com/5/4262/35625115942_1273c12a0e_k.jpg	https://c1.staticflickr.com/5/4262/35625115942_6f7f31d555_b.jpg	https://c1.staticflickr.com/5/4262/35625115942_6f7f31d555.jpg	https://c1.staticflickr.com/5/4262/35625115942_c1395b2cd0_o.jpg	https://c1.staticflickr.com/5/4262/35625115942_6f7f31d555_q.jpg	https://c1.staticflickr.com/5/4262/35625115942_6f7f31d555_m.jpg	https://c1.staticflickr.com/5/4262/35625115942_6f7f31d555_s.jpg	https://c1.staticflickr.com/5/4262/35625115942_6f7f31d555_t.jpg	https://c1.staticflickr.com/5/4262/35625115942_6f7f31d555_z.jpg	12:00:00 AM
Folder1	IMG_20170707_151701	East	35.796425	-105.7712888889	https://c1.staticflickr.com/5/4229/35753712896_5ff160e500_n.jpg	https://www.flickr.com/photos/30474783@N06/35753712896/in/album-72157686011303755		https://c1.staticflickr.com/5/4229/35753712896_5ff160e500_n.jpg			aqua	https://c1.staticflickr.com/5/4229/35753712896_5ff160e500_c.jpg	https://c1.staticflickr.com/5/4229/35753712896_f6240b3650_h.jpg	https://c1.staticflickr.com/5/4229/35753712896_78cc375fc3_k.jpg	https://c1.staticflickr.com/5/4229/35753712896_5ff160e500_b.jpg	https://c1.staticflickr.com/5/4229/35753712896_5ff160e500.jpg	https://c1.staticflickr.com/5/4229/35753712896_f7fdd012c5_o.jpg	https://c1.staticflickr.com/5/4229/35753712896_5ff160e500_q.jpg	https://c1.staticflickr.com/5/4229/35753712896_5ff160e500_m.jpg	https://c1.staticflickr.com/5/4229/35753712896_5ff160e500_s.jpg	https://c1.staticflickr.com/5/4229/35753712896_5ff160e500_t.jpg	https://c1.staticflickr.com/5/4229/35753712896_5ff160e500_z.jpg	12:00:00 AM
Folder1	IMG_20170707_152023	Heading back to Brenda and Diane on Deception	35.7958611111	-105.771475	https://c1.staticflickr.com/5/4232/35406017110_c8e1191522_n.jpg	https://www.flickr.com/photos/30474783@N06/35406017110/in/album-72157686011303755		https://c1.staticflickr.com/5/4232/35406017110_c8e1191522_n.jpg			aqua	https://c1.staticflickr.com/5/4232/35406017110_c8e1191522_c.jpg	https://c1.staticflickr.com/5/4232/35406017110_5c697fa996_h.jpg	https://c1.staticflickr.com/5/4232/35406017110_c55b864aed_k.jpg	https://c1.staticflickr.com/5/4232/35406017110_c8e1191522_b.jpg	https://c1.staticflickr.com/5/4232/35406017110_c8e1191522.jpg	https://c1.staticflickr.com/5/4232/35406017110_6cc50bfa6c_o.jpg	https://c1.staticflickr.com/5/4232/35406017110_c8e1191522_q.jpg	https://c1.staticflickr.com/5/4232/35406017110_c8e1191522_m.jpg	https://c1.staticflickr.com/5/4232/35406017110_c8e1191522_s.jpg	https://c1.staticflickr.com/5/4232/35406017110_c8e1191522_t.jpg	https://c1.staticflickr.com/5/4232/35406017110_c8e1191522_z.jpg	12:00:00 AM
Folder1	IMG_20170707_152716	Lake Peak with SF Baldy in background	35.7906	-105.7859166667	https://c1.staticflickr.com/5/4214/35753704516_7cf1afb1c8_n.jpg	https://www.flickr.com/photos/30474783@N06/35753704516/in/album-72157686011303755		https://c1.staticflickr.com/5/4214/35753704516_7cf1afb1c8_n.jpg			aqua	https://c1.staticflickr.com/5/4214/35753704516_7cf1afb1c8_c.jpg	https://c1.staticflickr.com/5/4214/35753704516_698dd93dba_h.jpg	https://c1.staticflickr.com/5/4214/35753704516_77e9d68a3b_k.jpg	https://c1.staticflickr.com/5/4214/35753704516_7cf1afb1c8_b.jpg	https://c1.staticflickr.com/5/4214/35753704516_7cf1afb1c8.jpg	https://c1.staticflickr.com/5/4214/35753704516_0ae7170430_o.jpg	https://c1.staticflickr.com/5/4214/35753704516_7cf1afb1c8_q.jpg	https://c1.staticflickr.com/5/4214/35753704516_7cf1afb1c8_m.jpg	https://c1.staticflickr.com/5/4214/35753704516_7cf1afb1c8_s.jpg	https://c1.staticflickr.com/5/4214/35753704516_7cf1afb1c8_t.jpg	https://c1.staticflickr.com/5/4214/35753704516_7cf1afb1c8_z.jpg	12:00:00 AM
Folder1	IMG_20170707_152804	Colors of lichen, flowers and rock	35.7952916667	-105.7721361111	https://c1.staticflickr.com/5/4239/34984420363_13317fd4db_n.jpg	https://www.flickr.com/photos/30474783@N06/34984420363/in/album-72157686011303755		https://c1.staticflickr.com/5/4239/34984420363_13317fd4db_n.jpg			aqua	https://c1.staticflickr.com/5/4239/34984420363_13317fd4db_c.jpg	https://c1.staticflickr.com/5/4239/34984420363_d79c5fca96_h.jpg	https://c1.staticflickr.com/5/4239/34984420363_d1e70f2fc6_k.jpg	https://c1.staticflickr.com/5/4239/34984420363_13317fd4db_b.jpg	https://c1.staticflickr.com/5/4239/34984420363_13317fd4db.jpg	https://c1.staticflickr.com/5/4239/34984420363_92b1c9784e_o.jpg	https://c1.staticflickr.com/5/4239/34984420363_13317fd4db_q.jpg	https://c1.staticflickr.com/5/4239/34984420363_13317fd4db_m.jpg	https://c1.staticflickr.com/5/4239/34984420363_13317fd4db_s.jpg	https://c1.staticflickr.com/5/4239/34984420363_13317fd4db_t.jpg	https://c1.staticflickr.com/5/4239/34984420363_13317fd4db_z.jpg	12:00:00 AM
