folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size	symbol	icon_size	color
Folder1	TrailheadBill	Bill leads the way at the trailhead.	35.7096888888889	-106.62725	https://c1.staticflickr.com/5/4162/34621433995_b1955493b4_q.jpg	https://www.flickr.com/photos/139088815@N08/34621433995/in/album-72157680666183383	2017:05:12 10:47:00	https://c1.staticflickr.com/5/4162/34621433995_b1955493b4_n.jpg			pink
Folder1	HoodooFamily	A family of hoodoos as you leave the forest road	35.7240138888889	-106.620491666667	https://c1.staticflickr.com/5/4165/34459366442_02afc1de82_q.jpg	https://www.flickr.com/photos/139088815@N08/34459366442/in/album-72157680666183383	2017:05:12 11:45:20	https://c1.staticflickr.com/5/4165/34459366442_02afc1de82_n.jpg			pink
Folder1	TwistedShapes	Contorted rock shapes line the hills	35.7250027777778	-106.620316666667	https://c1.staticflickr.com/5/4184/34490800101_f256fb48ae_q.jpg	https://www.flickr.com/photos/139088815@N08/34490800101/in/album-72157680666183383	2017:05:12 11:49:52	https://c1.staticflickr.com/5/4184/34490800101_f256fb48ae_n.jpg			pink
Folder1	HoodooAdmirer	Bill's appreciation begins to grow	2017:05:12 11:53:29		https://c1.staticflickr.com/5/4164/33811308993_abc7c167f7_q.jpg	https://www.flickr.com/photos/139088815@N08/33811308993/in/album-72157680666183383		https://c1.staticflickr.com/5/4164/33811308993_abc7c167f7_n.jpg			pink
Folder1	KensClimb	Topping the hill, the 'holey' rock full of swallows	35.7253416666667	-106.621094444444	https://c1.staticflickr.com/5/4181/34490781091_7e4d63ed71_q.jpg	https://www.flickr.com/photos/139088815@N08/34490781091/in/album-72157680666183383	2017:05:12 11:55:57	https://c1.staticflickr.com/5/4181/34490781091_7e4d63ed71_n.jpg			pink
Folder1	GoblinModel	Paget highlights the scenery	35.7254055555556	-106.621130555556	https://c1.staticflickr.com/5/4166/34235423640_051577c75e_q.jpg	https://www.flickr.com/photos/139088815@N08/34235423640/in/album-72157680666183383	2017:05:12 11:56:39	https://c1.staticflickr.com/5/4166/34235423640_051577c75e_n.jpg			pink
Folder1	HoodooHts	Looking back over the route up	35.7256861111111	-106.620863888889	https://c1.staticflickr.com/5/4177/34235409230_a540889a59_q.jpg	https://www.flickr.com/photos/139088815@N08/34235409230/in/album-72157680666183383	2017:05:12 12:00:12	https://c1.staticflickr.com/5/4177/34235409230_a540889a59_n.jpg			pink
Folder1	HoodooHindsight	Looking back on the beautiful sight of hoodoos	35.72515	-106.620705555556	https://c1.staticflickr.com/5/4160/33811359953_168c422d25_q.jpg	https://www.flickr.com/photos/139088815@N08/33811359953/in/album-72157680666183383	2017:05:12 12:06:39	https://c1.staticflickr.com/5/4160/33811359953_168c422d25_n.jpg			pink
Folder1	ResidentGoblin	A member of the goblin family	35.7245416666667	-106.620216666667	https://c1.staticflickr.com/5/4190/34490804551_67baf13c7a_q.jpg	https://www.flickr.com/photos/139088815@N08/34490804551/in/album-72157680666183383	2017:05:12 12:12:44	https://c1.staticflickr.com/5/4190/34490804551_67baf13c7a_n.jpg			pink
Folder1	Mushroom	Mushroom rock with a hard hat	35.7258388888889	-106.617988888889	https://c1.staticflickr.com/5/4182/33811343863_acf7fd88dc_q.jpg	https://www.flickr.com/photos/139088815@N08/33811343863/in/album-72157680666183383	2017:05:12 12:23:16	https://c1.staticflickr.com/5/4182/33811343863_acf7fd88dc_n.jpg			pink
Folder1	MiniTentRocks	A miniature version of the Natl Monument	35.7260083333333	-106.618058333333	https://c1.staticflickr.com/5/4162/34490790911_b0ce4a4261_q.jpg	https://www.flickr.com/photos/139088815@N08/34490790911/in/album-72157680666183383	2017:05:12 12:24:08	https://c1.staticflickr.com/5/4162/34490790911_b0ce4a4261_n.jpg			pink
Folder1	MulleinForest	A small burn area allows a forest of mullein invaders	35.7249972222222	-106.616988888889	https://c1.staticflickr.com/5/4170/34579831696_82cea5aca8_q.jpg	https://www.flickr.com/photos/139088815@N08/34579831696/in/album-72157680666183383	2017:05:12 12:35:29	https://c1.staticflickr.com/5/4170/34579831696_82cea5aca8_n.jpg			pink
Folder1	RidgeView	Near the turn-around, a look back	35.7233472222222	-106.616377777778	https://c1.staticflickr.com/5/4156/33778272654_9df4fa3f2f_q.jpg	https://www.flickr.com/photos/139088815@N08/33778272654/in/album-72157680666183383	2017:05:12 12:44:26	https://c1.staticflickr.com/5/4156/33778272654_9df4fa3f2f_n.jpg			pink
Folder1	BillsBreak	Bill finds a spot to rest with crested rock formations behind.	35.7261	-106.616791666667	https://c1.staticflickr.com/5/4162/34490824741_cf59d5a600_q.jpg	https://www.flickr.com/photos/139088815@N08/34490824741/in/album-72157680666183383	2017:05:12 12:58:47	https://c1.staticflickr.com/5/4162/34490824741_cf59d5a600_n.jpg			pink
