folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size	symbol	icon_size	color	c-size	h-size	k-size	l-size	m-size	o-size	q-size	s-size	sq-size	t-size	z-size
Folder1	IMG_20170712_092138	"Nambe Creek"	35.807980555556	-105.78040833333	https://c1.staticflickr.com/5/4260/35715837632_5ba06d3015_n.jpg	https://www.flickr.com/photos/30474783@N06/35715837632/in/album-72157686336913285	"2017:07:12 09:21:40"	https://c1.staticflickr.com/5/4260/35715837632_5ba06d3015_n.jpg			fuchsia	https://c1.staticflickr.com/5/4260/35715837632_5ba06d3015_c.jpg	https://c1.staticflickr.com/5/4260/35715837632_8941c5664f_h.jpg	https://c1.staticflickr.com/5/4260/35715837632_05f8583729_k.jpg	https://c1.staticflickr.com/5/4260/35715837632_5ba06d3015_b.jpg	https://c1.staticflickr.com/5/4260/35715837632_5ba06d3015.jpg	https://c1.staticflickr.com/5/4260/35715837632_d3accd9182_o.jpg	https://c1.staticflickr.com/5/4260/35715837632_5ba06d3015_q.jpg	https://c1.staticflickr.com/5/4260/35715837632_5ba06d3015_m.jpg	https://c1.staticflickr.com/5/4260/35715837632_5ba06d3015_s.jpg	https://c1.staticflickr.com/5/4260/35715837632_5ba06d3015_t.jpg	https://c1.staticflickr.com/5/4260/35715837632_5ba06d3015_z.jpg	"2017:07:12 15:21:32"
Folder1	IMG_20170712_092146	"Nambe Creek"	35.807980555556	-105.78040833333	https://c1.staticflickr.com/5/4289/35075882243_653872fdb8_n.jpg	https://www.flickr.com/photos/30474783@N06/35075882243/in/album-72157686336913285	"2017:07:12 09:21:48"	https://c1.staticflickr.com/5/4289/35075882243_653872fdb8_n.jpg			fuchsia	https://c1.staticflickr.com/5/4289/35075882243_653872fdb8_c.jpg	https://c1.staticflickr.com/5/4289/35075882243_ceb3808845_h.jpg	https://c1.staticflickr.com/5/4289/35075882243_8e801087b6_k.jpg	https://c1.staticflickr.com/5/4289/35075882243_653872fdb8_b.jpg	https://c1.staticflickr.com/5/4289/35075882243_653872fdb8.jpg	https://c1.staticflickr.com/5/4289/35075882243_1167550ba9_o.jpg	https://c1.staticflickr.com/5/4289/35075882243_653872fdb8_q.jpg	https://c1.staticflickr.com/5/4289/35075882243_653872fdb8_m.jpg	https://c1.staticflickr.com/5/4289/35075882243_653872fdb8_s.jpg	https://c1.staticflickr.com/5/4289/35075882243_653872fdb8_t.jpg	https://c1.staticflickr.com/5/4289/35075882243_653872fdb8_z.jpg	"2017:07:12 15:21:32"
Folder1	IMG_20170712_092325	"Maple Leak White Flower"	35.809341666667	-105.78362777778	https://c1.staticflickr.com/5/4215/35715836422_1af0367890_n.jpg	https://www.flickr.com/photos/30474783@N06/35715836422/in/album-72157686336913285	"2017:07:12 09:23:27"	https://c1.staticflickr.com/5/4215/35715836422_1af0367890_n.jpg			fuchsia	https://c1.staticflickr.com/5/4215/35715836422_1af0367890_c.jpg	https://c1.staticflickr.com/5/4215/35715836422_aa9ffdbe2d_h.jpg	https://c1.staticflickr.com/5/4215/35715836422_09beb55ff0_k.jpg	https://c1.staticflickr.com/5/4215/35715836422_1af0367890_b.jpg	https://c1.staticflickr.com/5/4215/35715836422_1af0367890.jpg	https://c1.staticflickr.com/5/4215/35715836422_87dfaedfb7_o.jpg	https://c1.staticflickr.com/5/4215/35715836422_1af0367890_q.jpg	https://c1.staticflickr.com/5/4215/35715836422_1af0367890_m.jpg	https://c1.staticflickr.com/5/4215/35715836422_1af0367890_s.jpg	https://c1.staticflickr.com/5/4215/35715836422_1af0367890_t.jpg	https://c1.staticflickr.com/5/4215/35715836422_1af0367890_z.jpg	"2017:07:12 15:23:25"
Folder1	lavegajunction	"La Vega Junction"	35.812977777778	-105.78113611111	https://c1.staticflickr.com/5/4261/35127437873_fa9ab93af9_n.jpg	https://www.flickr.com/photos/30474783@N06/35127437873/in/album-72157686336913285	"2017:07:12 09:31:35"	https://c1.staticflickr.com/5/4261/35127437873_fa9ab93af9_n.jpg			fuchsia	https://c1.staticflickr.com/5/4261/35127437873_fa9ab93af9_c.jpg	https://c1.staticflickr.com/5/4261/35127437873_7343861008_h.jpg	https://c1.staticflickr.com/5/4261/35127437873_3e8e33f1bf_k.jpg	https://c1.staticflickr.com/5/4261/35127437873_fa9ab93af9_b.jpg	https://c1.staticflickr.com/5/4261/35127437873_fa9ab93af9.jpg	https://c1.staticflickr.com/5/4261/35127437873_0a0a991d3e_o.jpg	https://c1.staticflickr.com/5/4261/35127437873_fa9ab93af9_q.jpg	https://c1.staticflickr.com/5/4261/35127437873_fa9ab93af9_m.jpg	https://c1.staticflickr.com/5/4261/35127437873_fa9ab93af9_s.jpg	https://c1.staticflickr.com/5/4261/35127437873_fa9ab93af9_t.jpg	https://c1.staticflickr.com/5/4261/35127437873_fa9ab93af9_z.jpg	"2017:07:12 15:34:19"
Folder1	IMG_20170712_093420	Wildflowers	35.812902777778	-105.77945	https://c1.staticflickr.com/5/4216/35075881143_4185d6d02d_n.jpg	https://www.flickr.com/photos/30474783@N06/35075881143/in/album-72157686336913285	"2017:07:12 09:34:23"	https://c1.staticflickr.com/5/4216/35075881143_4185d6d02d_n.jpg			fuchsia	https://c1.staticflickr.com/5/4216/35075881143_4185d6d02d_c.jpg	https://c1.staticflickr.com/5/4216/35075881143_8b629c9954_h.jpg	https://c1.staticflickr.com/5/4216/35075881143_2adb3c9fcb_k.jpg	https://c1.staticflickr.com/5/4216/35075881143_4185d6d02d_b.jpg	https://c1.staticflickr.com/5/4216/35075881143_4185d6d02d.jpg	https://c1.staticflickr.com/5/4216/35075881143_f1c5d4de5a_o.jpg	https://c1.staticflickr.com/5/4216/35075881143_4185d6d02d_q.jpg	https://c1.staticflickr.com/5/4216/35075881143_4185d6d02d_m.jpg	https://c1.staticflickr.com/5/4216/35075881143_4185d6d02d_s.jpg	https://c1.staticflickr.com/5/4216/35075881143_4185d6d02d_t.jpg	https://c1.staticflickr.com/5/4216/35075881143_4185d6d02d_z.jpg	"2017:07:12 15:34:49"
Folder1	IMG_20170712_093449	"Rio Nambe Tributary"	35.813033333333	-105.77933611111	https://c1.staticflickr.com/5/4218/35715835452_9f0496d346_n.jpg	https://www.flickr.com/photos/30474783@N06/35715835452/in/album-72157686336913285	"2017:07:12 09:34:51"	https://c1.staticflickr.com/5/4218/35715835452_9f0496d346_n.jpg			fuchsia	https://c1.staticflickr.com/5/4218/35715835452_9f0496d346_c.jpg	https://c1.staticflickr.com/5/4218/35715835452_92d834c53d_h.jpg	https://c1.staticflickr.com/5/4218/35715835452_da1cbabd6f_k.jpg	https://c1.staticflickr.com/5/4218/35715835452_9f0496d346_b.jpg	https://c1.staticflickr.com/5/4218/35715835452_9f0496d346.jpg	https://c1.staticflickr.com/5/4218/35715835452_df30c2fdc8_o.jpg	https://c1.staticflickr.com/5/4218/35715835452_9f0496d346_q.jpg	https://c1.staticflickr.com/5/4218/35715835452_9f0496d346_m.jpg	https://c1.staticflickr.com/5/4218/35715835452_9f0496d346_s.jpg	https://c1.staticflickr.com/5/4218/35715835452_9f0496d346_t.jpg	https://c1.staticflickr.com/5/4218/35715835452_9f0496d346_z.jpg	"2017:07:12 15:35:29"
Folder1	IMG_20170712_093529	Wildflowers	35.812966666667	-105.77933888889	https://c1.staticflickr.com/5/4290/35075879823_eaf1e54d98_n.jpg	https://www.flickr.com/photos/30474783@N06/35075879823/in/album-72157686336913285	"2017:07:12 09:35:31"	https://c1.staticflickr.com/5/4290/35075879823_eaf1e54d98_n.jpg			fuchsia	https://c1.staticflickr.com/5/4290/35075879823_eaf1e54d98_c.jpg	https://c1.staticflickr.com/5/4290/35075879823_823c795f2c_h.jpg	https://c1.staticflickr.com/5/4290/35075879823_10f4b4f22a_k.jpg	https://c1.staticflickr.com/5/4290/35075879823_eaf1e54d98_b.jpg	https://c1.staticflickr.com/5/4290/35075879823_eaf1e54d98.jpg	https://c1.staticflickr.com/5/4290/35075879823_c49e8c09f5_o.jpg	https://c1.staticflickr.com/5/4290/35075879823_eaf1e54d98_q.jpg	https://c1.staticflickr.com/5/4290/35075879823_eaf1e54d98_m.jpg	https://c1.staticflickr.com/5/4290/35075879823_eaf1e54d98_s.jpg	https://c1.staticflickr.com/5/4290/35075879823_eaf1e54d98_t.jpg	https://c1.staticflickr.com/5/4290/35075879823_eaf1e54d98_z.jpg	"2017:07:12 15:35:53"
Folder1	IMG_20170712_093553	Wildflowers	35.812922222222	-105.77936111111	https://c1.staticflickr.com/5/4278/35715834292_f6b875177f_n.jpg	https://www.flickr.com/photos/30474783@N06/35715834292/in/album-72157686336913285	"2017:07:12 09:35:55"	https://c1.staticflickr.com/5/4278/35715834292_f6b875177f_n.jpg			fuchsia	https://c1.staticflickr.com/5/4278/35715834292_f6b875177f_c.jpg	https://c1.staticflickr.com/5/4278/35715834292_ebf93896a7_h.jpg	https://c1.staticflickr.com/5/4278/35715834292_bf8e487709_k.jpg	https://c1.staticflickr.com/5/4278/35715834292_f6b875177f_b.jpg	https://c1.staticflickr.com/5/4278/35715834292_f6b875177f.jpg	https://c1.staticflickr.com/5/4278/35715834292_42e5bc5f9b_o.jpg	https://c1.staticflickr.com/5/4278/35715834292_f6b875177f_q.jpg	https://c1.staticflickr.com/5/4278/35715834292_f6b875177f_m.jpg	https://c1.staticflickr.com/5/4278/35715834292_f6b875177f_s.jpg	https://c1.staticflickr.com/5/4278/35715834292_f6b875177f_t.jpg	https://c1.staticflickr.com/5/4278/35715834292_f6b875177f_z.jpg	"2017:07:12 15:41:41"
Folder1	whitestars	whitestars	35.813	-105.77935833333	https://c1.staticflickr.com/5/4261/35548238850_05958321a7_n.jpg	https://www.flickr.com/photos/30474783@N06/35548238850/in/album-72157686336913285	"2017:07:12 09:37:10"	https://c1.staticflickr.com/5/4261/35548238850_05958321a7_n.jpg			fuchsia	https://c1.staticflickr.com/5/4261/35548238850_05958321a7_c.jpg	https://c1.staticflickr.com/5/4261/35548238850_611d4c0277_h.jpg	https://c1.staticflickr.com/5/4261/35548238850_2b10a1eb6b_k.jpg	https://c1.staticflickr.com/5/4261/35548238850_05958321a7_b.jpg	https://c1.staticflickr.com/5/4261/35548238850_05958321a7.jpg	https://c1.staticflickr.com/5/4261/35548238850_10c03b6b98_o.jpg	https://c1.staticflickr.com/5/4261/35548238850_05958321a7_q.jpg	https://c1.staticflickr.com/5/4261/35548238850_05958321a7_m.jpg	https://c1.staticflickr.com/5/4261/35548238850_05958321a7_s.jpg	https://c1.staticflickr.com/5/4261/35548238850_05958321a7_t.jpg	https://c1.staticflickr.com/5/4261/35548238850_05958321a7_z.jpg	"2017:07:12 15:54:49"
Folder1	IMG_20170712_094141	"Wildflowers to Baldy"	35.813452777778	-105.77807222222	https://c1.staticflickr.com/5/4258/35844200626_cd15e8306e_n.jpg	https://www.flickr.com/photos/30474783@N06/35844200626/in/album-72157686336913285	"2017:07:12 09:41:43"	https://c1.staticflickr.com/5/4258/35844200626_cd15e8306e_n.jpg			fuchsia	https://c1.staticflickr.com/5/4258/35844200626_cd15e8306e_c.jpg	https://c1.staticflickr.com/5/4258/35844200626_2246ff1a75_h.jpg	https://c1.staticflickr.com/5/4258/35844200626_7fd2b3eb26_k.jpg	https://c1.staticflickr.com/5/4258/35844200626_cd15e8306e_b.jpg	https://c1.staticflickr.com/5/4258/35844200626_cd15e8306e.jpg	https://c1.staticflickr.com/5/4258/35844200626_073f0c4d7f_o.jpg	https://c1.staticflickr.com/5/4258/35844200626_cd15e8306e_q.jpg	https://c1.staticflickr.com/5/4258/35844200626_cd15e8306e_m.jpg	https://c1.staticflickr.com/5/4258/35844200626_cd15e8306e_s.jpg	https://c1.staticflickr.com/5/4258/35844200626_cd15e8306e_t.jpg	https://c1.staticflickr.com/5/4258/35844200626_cd15e8306e_z.jpg	"2017:07:12 15:58:38"
