folder	desc	name	Latitude	Longitude	thumbnail	url	date	n-size
Folder1	UpperTesuque	The Upper Tesuque Creek cascades down the trail	35.7809222222222	-105.793944444444	https://c7.staticflickr.com/9/8089/29751372062_7d3f2fd186.jpg	https://www.flickr.com/photos/139088815@N08/29751372062/in/photostream/	2016:09:22 13:42:39	https://c7.staticflickr.com/9/8089/29751372062_7d3f2fd186_n.jpg
Folder1	TopCat	Tom stands atop with a fantastic view behind	35.784825	-105.792633333333	https://c6.staticflickr.com/9/8544/29238452333_73e04dcf51.jpg	https://www.flickr.com/photos/139088815@N08/29238452333/in/photostream/	2016:09:22 13:08:40	https://c6.staticflickr.com/9/8544/29238452333_73e04dcf51_n.jpg
Folder1	TomSummits	GPS Works! Tom found the shortcut to Upper Tesuque Trail	35.7848194444444	-105.792647222222	https://c3.staticflickr.com/9/8261/29751398482_41a8908a46.jpg	https://www.flickr.com/photos/139088815@N08/29751398482/in/photostream/	2016:09:22 13:06:52	https://c3.staticflickr.com/9/8261/29751398482_41a8908a46_n.jpg
Folder1	SantaFeValleyView	Splendor abounds with autumn accents	35.7845	-105.792566666667	https://c6.staticflickr.com/9/8725/29782335381_fd94bd24cd.jpg	https://www.flickr.com/photos/139088815@N08/29782335381/in/photostream/	2016:09:22 13:11:12	https://c6.staticflickr.com/9/8725/29782335381_fd94bd24cd_n.jpg
Folder1	RockyAscent	Rocky and steep, but worth the climb for Brenda and Tom	35.7859027777778	-105.797255555556	https://c3.staticflickr.com/9/8492/29571599810_6912dbe838.jpg	https://www.flickr.com/photos/139088815@N08/29571599810/in/photostream/	2016:09:22 12:45:50	https://c3.staticflickr.com/9/8492/29571599810_6912dbe838_n.jpg
Folder1	DownhillBill	Bill forges downhill towards the forest road at Aspen Vista	35.7797722222222	-105.797897222222	https://c7.staticflickr.com/6/5563/29829870806_62c9b8ffc3.jpg	https://www.flickr.com/photos/139088815@N08/29829870806/in/photostream/	2016:09:22 13:58:26	https://c7.staticflickr.com/6/5563/29829870806_62c9b8ffc3_n.jpg
Folder1	CarlsMeadow	A lovely stopping point 1\/2 mile up from the trailhead	35.7814027777778	-105.803352777778	https://c3.staticflickr.com/6/5820/29571630930_d39faa7035.jpg	https://www.flickr.com/photos/139088815@N08/29571630930/in/photostream/	2016:09:22 11:57:50	https://c3.staticflickr.com/6/5820/29571630930_d39faa7035_n.jpg
Folder1	BrendasViewpoint	Beautiful views abound on the way up	35.7857805555556	-105.797866666667	https://c4.staticflickr.com/9/8093/29238514403_c81bd6fa3b.jpg	https://www.flickr.com/photos/139088815@N08/29238514403/in/photostream/	2016:09:22 12:42:27	https://c4.staticflickr.com/9/8093/29238514403_c81bd6fa3b_n.jpg
Folder1	BillClaimsPeak	Bill stakes a claim - but was beat by the ski lift post	35.7858972222222	-105.797233333333	https://c7.staticflickr.com/6/5205/29237641814_f9f4113899.jpg	https://www.flickr.com/photos/139088815@N08/29237641814/in/photostream/	2016:09:22 12:47:10	https://c7.staticflickr.com/6/5205/29237641814_f9f4113899_n.jpg
Folder1	AspenThicket	Solid Aspens adorn the trail up	35.7767055555556	-105.806677777778	https://c1.staticflickr.com/9/8342/29237679504_93570e25bd.jpg	https://www.flickr.com/photos/139088815@N08/29237679504/in/photostream/	2016:09:22 11:40:56	https://c1.staticflickr.com/9/8342/29237679504_93570e25bd_n.jpg
