folder,desc,name,Latitude,Longitude,thumbnail,url,date,n-size,symbol,icon_size,color
Folder1,WildflowerGuards,Guarding the warm springs,35.8218,-106.627425,https://c6.staticflickr.com/9/8571/28741092493_25ffc220bb.jpg,https://www.flickr.com/photos/139088815@N08/28741092493/in/photostream/,2016:08:30 12:31:21,https://c6.staticflickr.com/9/8571/28741092493_25ffc220bb_n.jpg,,,orange
Folder1,TresAmigos,"Tom, Bill &amp; Ken at the canyon overlook",35.81909167,-106.6140528,https://c5.staticflickr.com/9/8221/29328790156_da91b932df.jpg,https://www.flickr.com/photos/139088815@N08/29328790156/in/photostream/,2016:08:30 10:59:21,https://c5.staticflickr.com/9/8221/29328790156_da91b932df_n.jpg,,,orange
Folder1,TrailStart,Near NM4 at the trailhead,35.81745278,-106.5926361,https://c7.staticflickr.com/9/8351/29075050510_279e86a9f3.jpg,https://www.flickr.com/photos/139088815@N08/29075050510/in/photostream/,2016:08:30 09:07:56,https://c7.staticflickr.com/9/8351/29075050510_279e86a9f3_n.jpg,,,orange
Folder1,TomsForest,Tall ponderosas dominate the trail,35.81659444,-106.5999,https://c1.staticflickr.com/9/8807/29328823296_dbd935c387.jpg,https://www.flickr.com/photos/139088815@N08/29328823296/in/photostream/,2016:08:30 09:23:10,https://c1.staticflickr.com/9/8807/29328823296_dbd935c387_n.jpg,,,orange
Folder1,TomsCanyon,Overlook near Jemez Falls,35.81903611,-106.6142722,https://c7.staticflickr.com/9/8226/28739010254_1d0760d199.jpg,https://www.flickr.com/photos/139088815@N08/28739010254/in/photostream/,2016:08:30 10:58:02,https://c7.staticflickr.com/9/8226/28739010254_1d0760d199_n.jpg,,,orange
Folder1,Reflections,Reflections of Tom at the springs,35.822025,-106.62745,https://c7.staticflickr.com/9/8554/29328876006_874dde4212.jpg,https://www.flickr.com/photos/139088815@N08/29328876006/in/photostream/,2016:08:30 12:00:29,https://c7.staticflickr.com/9/8554/29328876006_874dde4212_n.jpg,,,orange
Folder1,Pool2,One of the two beautiful pools at Macauley,35.82137222,-106.6276167,https://c7.staticflickr.com/9/8192/28739058534_15d4c06915.jpg,https://www.flickr.com/photos/139088815@N08/28739058534/in/photostream/,2016:08:30 11:58:29,https://c7.staticflickr.com/9/8192/28739058534_15d4c06915_n.jpg,,,orange
Folder1,PonderosaTom,Heading down the East Fork trail,35.81713056,-106.6046611,https://c5.staticflickr.com/9/8648/28739075204_5e0ae228c9.jpg,https://www.flickr.com/photos/139088815@N08/28739075204/in/photostream/,2016:08:30 10:19:07,https://c5.staticflickr.com/9/8648/28739075204_5e0ae228c9_n.jpg,,,orange
Folder1,Obserdians,Tres amigos on the obsidian plateau,35.823825,-106.6331556,https://c5.staticflickr.com/9/8024/29254638412_abf5f74fcb.jpg,https://www.flickr.com/photos/139088815@N08/29254638412/in/photostream/,2016:08:30 13:07:19,https://c5.staticflickr.com/9/8024/29254638412_abf5f74fcb_n.jpg,,,orange
Folder1,Namesake,Battleship from the end of the trail,35.82797222,-106.6434556,https://c1.staticflickr.com/9/8522/29254654712_829c33ce9b.jpg,https://www.flickr.com/photos/139088815@N08/29254654712/in/photostream/,2016:08:30 14:05:01,https://c1.staticflickr.com/9/8522/29254654712_829c33ce9b_n.jpg,,,orange
Folder1,LastLegView,Coming around the bend towards Battleship,35.82481667,-106.6391667,https://c7.staticflickr.com/9/8482/29328938006_f32dd5a32a.jpg,https://www.flickr.com/photos/139088815@N08/29328938006/in/photostream/,2016:08:30 13:39:46,https://c7.staticflickr.com/9/8482/29328938006_f32dd5a32a_n.jpg,,,orange
Folder1,JemezRed,Jemez red clay contrasts the ponderosas,35.81953333,-106.6227333,https://c7.staticflickr.com/9/8365/29075241150_928cffafa3.jpg,https://www.flickr.com/photos/139088815@N08/29075241150/in/photostream/,2016:08:30 11:39:34,https://c7.staticflickr.com/9/8365/29075241150_928cffafa3_n.jpg,,,orange
Folder1,HikersView,Fantastic views descending the canyon,35.82031944,-106.6143639,https://c3.staticflickr.com/8/7546/28739124554_9ef84015fa.jpg,https://www.flickr.com/photos/139088815@N08/28739124554/in/photostream/,2016:08:30 11:13:09,https://c3.staticflickr.com/8/7546/28739124554_9ef84015fa_n.jpg,,,orange
Folder1,GnarlyRock,Twisted rocks and trees highlight the journey,35.81743333,-106.6033667,https://c8.staticflickr.com/9/8543/28741160703_c0fb2034ee.jpg,https://www.flickr.com/photos/139088815@N08/28741160703/in/photostream/,2016:08:30 10:13:21,https://c8.staticflickr.com/9/8543/28741160703_c0fb2034ee_n.jpg,,,orange
Folder1,WrongTurn,Dont turn north here like we did. Continue west through the gulley.,35.81784,-106.601983,,,2016:08:30 10:13:21,,http://krcowles.github.io/ktesa/images/Fork.png,32x32,
Folder1,EnjoyingMacauley,Karen illustrates how to relax,35.82201111,-106.6275639,https://c1.staticflickr.com/9/8245/28739139264_f2d77e3892.jpg,https://www.flickr.com/photos/139088815@N08/28739139264/in/photostream/,2016:08:30 12:09:23,https://c1.staticflickr.com/9/8245/28739139264_f2d77e3892_n.jpg,,,orange
Folder1,CanyonOverlook,Another view near Jemez Falls,35.81898611,-106.6140528,https://c7.staticflickr.com/9/8852/29328855526_5b8829ff0b.jpg,https://www.flickr.com/photos/139088815@N08/29328855526/in/photostream/,2016:08:30 10:57:03,https://c7.staticflickr.com/9/8852/29328855526_5b8829ff0b_n.jpg,,,orange
