desc	name	album-link	date	n-size
WhiteMesaView	A view of White Mesa adds to the scene	https://www.flickr.com/photos/139088815@N08/27945449651/in/album-72157670484666515	2013:05:04 12:28:50	https://c4.staticflickr.com/8/7631/27945449651_5812d7e800_n.jpg
TrailMesa	Where the so-called trail begins	https://www.flickr.com/photos/139088815@N08/27409281374/in/album-72157670484666515	2009:05:15 13:53:21	https://c7.staticflickr.com/8/7452/27409281374_4fdf47c0e1_n.jpg
RainbowRock	So many colors everywhere you look	https://www.flickr.com/photos/139088815@N08/27920915372/in/album-72157670484666515	2009:05:15 12:48:36	https://c5.staticflickr.com/8/7525/27920915372_4acd8cb4e6_n.jpg
MultiLayers	Striated rocks participate in the wild geological collection	https://www.flickr.com/photos/139088815@N08/28023043435/in/album-72157670484666515	2015:11:03 11:36:40	https://c4.staticflickr.com/8/7093/28023043435_057c372b0c_n.jpg
MesaPtView	From the tip of the mesa, Tom peers northeast	https://www.flickr.com/photos/139088815@N08/27988521966/in/album-72157670484666515	2015:11:03 11:37:21	https://c7.staticflickr.com/8/7457/27988521966_26c7ee287f_n.jpg
HomesteadRemains	Abandoned ruins of a homestead - how did they live?	https://www.flickr.com/photos/139088815@N08/27945504921/in/album-72157670484666515	2015:11:03 12:33:39	https://c2.staticflickr.com/8/7444/27945504921_ce932dc839_n.jpg
DistantCabezon	From here, a view of Cabezon Peak	https://www.flickr.com/photos/139088815@N08/27742915010/in/album-72157670484666515	2015:03:25 11:32:24	https://c3.staticflickr.com/8/7327/27742915010_9f43ffa3df_n.jpg
CrazyCream	Unimaginable colors and hoodoos	https://www.flickr.com/photos/139088815@N08/28023090335/in/album-72157670484666515	2015:05:12 12:37:18	https://c8.staticflickr.com/8/7389/28023090335_a148ed8d90_n.jpg
ColorCombo	Some colors you don't expect to find together	https://www.flickr.com/photos/139088815@N08/27988553976/in/album-72157670484666515	2015:11:03 11:17:47	https://c1.staticflickr.com/8/7408/27988553976_8e4dc51e23_n.jpg
AscendHere	Using waypoints only, a preview of what's to come	https://www.flickr.com/photos/139088815@N08/27920962022/in/album-72157670484666515	2015:11:03 12:54:25	https://c7.staticflickr.com/8/7055/27920962022_cd07b92aeb_n.jpg
ArroyoRoad	A long and deep arroyo separates us from returning	https://www.flickr.com/photos/139088815@N08/27920968242/in/album-72157670484666515	2015:11:03 13:56:20	https://c3.staticflickr.com/8/7317/27920968242_3fdfbb981b_n.jpg
